,name,sido,gugun
0,가경동점,충청북도,청주시흥덕구
1,가남점,경기도,여주시
2,가래비점,경기도,양주시
3,가마점,충청북도,청주시서원구
4,가수원점,대전광역시,서구
5,가양동점,서울특별시,강서구
6,가오점,대전광역시,동구
7,가운점,경기도,남양주시
8,가장점,대전광역시,서구
9,가정지구1점,인천광역시,서구
10,가좌3점,인천광역시,서구
11,가평역전점,경기도,가평군
12,가평점,경기도,가평군
13,가평현리점,경기도,가평군
14,가흥점,경상북도,영주시
15,각화주공점,광주광역시,북구
16,간현점,강원도,원주시
17,갈곶원동점,경기도,오산시
18,갈마점,대전광역시,서구
19,갈산점,인천광역시,부평구
20,갈산점(이천),경기도,이천시
21,갈산점(홍성),충청남도,홍성군
22,감곡점,충청북도,음성군
23,감삼점,대구광역시,달서구
24,강경점,충청남도,논산시
25,강구점,경상북도,영덕군
26,강남구청점,서울특별시,강남구
27,강남대점,경기도,용인시기흥구
28,강남점,대구광역시,동구
29,강릉교동점,강원도,강릉시
30,강릉대점,강원도,강릉시
31,강릉서부점,강원도,강릉시
32,강릉옥계점,강원도,강릉시
33,강릉옥천동점,강원도,강릉시
34,강릉유천점,강원도,강릉시
35,강북점,대구광역시,북구
36,강상점,경기도,양평군
37,강서구청점,서울특별시,강서구
38,강서점,충청북도,청주시흥덕구
39,강선점,경기도,고양시일산서구
40,강진점,전라남도,강진군
41,강화1점,인천광역시,강화군
42,강화2점,인천광역시,강화군
43,개군점,경기도,양평군
44,개금점,부산광역시,부산진구
45,개봉1점,서울특별시,구로구
46,개신점,충청북도,청주시흥덕구
47,개포2점,서울특별시,강남구
48,개포3점,서울특별시,강남구
49,거모점,경기도,시흥시
50,거진점,강원도,고성군
51,거창점,경상남도,거창군
52,건등점,강원도,원주시
53,건영점,경기도,고양시일산서구
54,건천점,경상북도,경주시
55,검암경서점,인천광역시,서구
56,경남고성점,경상남도,고성군
57,경남단계점,경상남도,산청군
58,경남사천점,경상남도,사천시
59,경남양산점,경상남도,양산시
60,경복점,서울특별시,강남구
61,경안점,경기도,광주시
62,경포대점,강원도,강릉시
63,계산1점,인천광역시,계양구
64,계양1동점,인천광역시,계양구
65,고강1점,경기도,부천시오정구
66,고강2점,경기도,부천시오정구
67,고담리점,경기도,이천시
68,고대점,충청남도,당진시
69,고덕역점,서울특별시,강동구
70,고덕점,충청남도,예산군
71,고매리점,경기도,용인시기흥구
72,고북점,충청남도,서산시
73,고은점,충청북도,청주시상당구
74,고읍점,경기도,양주시
75,고잔2점,경기도,안산시단원구
76,고잔점,경기도,안산시단원구
77,고척동점,서울특별시,구로구
78,고천점,경기도,의왕시
79,고한점,강원도,정선군
80,곡반정점,경기도,수원시권선구
81,곤명점,경상남도,사천시
82,곤지암점,경기도,광주시
83,공덕동점,서울특별시,마포구
84,공덕역점,서울특별시,마포구
85,공도점,경기도,안성시
86,공릉철길공원점,서울특별시,노원구
87,공성점,경상북도,상주시
88,공주1점,충청남도,공주시
89,공주산성동점,충청남도,공주시
90,과학단지점,충청북도,청주시청원구
91,관기점,충청북도,보은군
92,관산점,경기도,고양시덕양구
93,관양1점,경기도,안양시동안구
94,관음점,대구광역시,북구
95,관저1점,대전광역시,서구
96,관저2점,대전광역시,서구
97,광교점,경기도,수원시영통구
98,광나루점,서울특별시,광진구
99,광릉내점,경기도,남양주시
100,광명1점,경기도,광명시
101,광명2점,경기도,광명시
102,광명3점,경기도,광명시
103,광산점,광주광역시,광산구
104,광안점,부산광역시,수영구
105,광양점,전라남도,광양시
106,광장동점,서울특별시,광진구
107,광주점,경기도,광주시
108,광주지사,,
109,광천점,충청남도,홍성군
110,광탄점,경기도,파주시
111,광혜원점,충청북도,진천군
112,괘법점,부산광역시,사상구
113,괴산점,충청북도,괴산군
114,괴안1점,경기도,부천시소사구
115,괴정1점,대전광역시,서구
116,교대역점,서울특별시,서초구
117,교하점,경기도,파주시
118,구곡현대점,강원도,원주시
119,구례점,전라남도,구례군
120,구로2동점,서울특별시,구로구
121,구리남점,경기도,구리시
122,구리중앙점,경기도,구리시
123,구미송정점,경상북도,구미시
124,구반월점,경기도,안산시상록구
125,구산점,경상남도,김해시
126,구성마북점,경기도,용인시기흥구
127,구암점,전라북도,군산시
128,구운점,경기도,수원시권선구
129,구월1동점,인천광역시,남동구
130,구의동점,서울특별시,광진구
131,군남점,경기도,연천군
132,군산금호점,전라북도,군산시
133,군위점,경상북도,군위군
134,군자11점,경기도,안산시단원구
135,군포당동점,경기도,군포시
136,궁동점(대전),대전광역시,유성구
137,궁동점(서울),서울특별시,구로구
138,권선점,경기도,수원시권선구
139,궐동대우점,경기도,오산시
140,근화점,전라남도,목포시
141,금곡점,경기도,남양주시
142,금산2점,충청남도,금산군
143,금산점(진주),경상남도,진주시
144,금암점,전라북도,전주시덕진구
145,금오점,경기도,의정부시
146,금왕점,충청북도,음성군
147,금장점,경상북도,경주시
148,금촌주공점,경기도,파주시
149,금호동점(광주),광주광역시,서구
150,금호로타리점,서울특별시,성동구
151,금호역점,서울특별시,성동구
152,기계점,경상북도,포항시북구
153,기아점,경기도,광명시
154,기업도시점,충청북도,충주시
155,기장점,부산광역시,기장군
156,기지시점,충청남도,당진시
157,길동2점,서울특별시,강동구
158,길동3점,서울특별시,강동구
159,길음점,서울특별시,성북구
160,김해내동점,경상남도,김해시
161,김해중앙점,경상남도,김해시
162,까치산점,서울특별시,강서구
163,꼬꼬점,경상북도,포항시북구
164,꿈.연화점,경기도,부천시원미구
165,낙성대1점,서울특별시,관악구
166,난곡점,서울특별시,관악구
167,남목점,울산광역시,동구
168,남부점,강원도,원주시
169,남양주도곡점,경기도,남양주시
170,남원노암점,전라북도,남원시
171,남원점,제주특별자치도,서귀포시
172,남창점,울산광역시,울주군
173,남촌점,경기도,오산시
174,남해대교점,경상남도,남해군
175,남해점,경상남도,남해군
176,내곡동점,강원도,강릉시
177,내동2점,대전광역시,서구
178,내동점,경기도,부천시오정구
179,내면점,강원도,홍천군
180,내포1점,충청남도,홍성군
181,노량진2동점,서울특별시,동작구
182,노암점,강원도,강릉시
183,노은반석점,대전광역시,유성구
184,노학점,강원도,속초시
185,녹양점,경기도,의정부시
186,논산2점,충청남도,논산시
187,논산대교점,충청남도,논산시
188,논산주공점,충청남도,논산시
189,논현동점,서울특별시,강남구
190,농암점,경상북도,문경시
191,능곡점,경기도,고양시덕양구
192,능주점,전라남도,화순군
193,다인점,경상북도,의성군
194,단계점,강원도,원주시
195,단계택지점,강원도,원주시
196,단관점,강원도,원주시
197,단구점,강원도,원주시
198,단월동점,경기도,이천시
199,달동1점,울산광역시,남구
200,달동2점,울산광역시,남구
201,달전점,경상북도,포항시북구
202,달천점,울산광역시,북구
203,답십리점,서울특별시,동대문구
204,당감점,부산광역시,부산진구
205,당북점,경상북도,안동시
206,당산동점,서울특별시,영등포구
207,당수동점,경기도,수원시권선구
208,당진1점,충청남도,당진시
209,당진2점,충청남도,당진시
210,당진3점,충청남도,당진시
211,당진송산점,충청남도,당진시
212,당진신평점,충청남도,당진시
213,대강점,충청북도,단양군
214,대고점,대전광역시,중구
215,대광리점,경기도,연천군
216,대구고성점,대구광역시,서구
217,대구남산점,대구광역시,중구
218,대구대명점,대구광역시,남구
219,대구상동점,대구광역시,수성구
220,대구서문점,대구광역시,서구
221,대구송정점,대구광역시,동구
222,대구신당점,대구광역시,달서구
223,대구지사,,
224,대구지산점,대구광역시,수성구
225,대림동산점,경기도,안성시
226,대림역점,서울특별시,구로구
227,대림점,서울특별시,영등포구
228,대방동점,서울특별시,동작구
229,대봉점,대구광역시,중구
230,대산점,충청남도,서산시
231,대소점,충청북도,음성군
232,대송점,울산광역시,동구
233,대신점,경기도,여주시
234,대우점,인천광역시,부평구
235,대전용문점,대전광역시,서구
236,대전자양점,대전광역시,동구
237,대전지사,,
238,대전터미널점,대전광역시,동구
239,대조동점,서울특별시,은평구
240,대진점,강원도,고성군
241,대천해수욕장점,충청남도,보령시
242,대치동점,서울특별시,강남구
243,대학로점,강원도,삼척시
244,대화장성점,경기도,고양시일산서구
245,대화점(강원),강원도,평창군
246,대화점(대전),대전광역시,대덕구
247,덕산점,충청북도,진천군
248,덕절리점,경기도,화성시
249,덕정점,경기도,양주시
250,덕천점,경기도,안양시만안구
251,덕풍동점,경기도,하남시
252,도계점,강원도,삼척시
253,도고점,충청남도,아산시
254,도구점,경상북도,포항시남구
255,도당점,경기도,부천시원미구
256,도련점,제주특별자치도,제주시
257,도림주공점,인천광역시,남동구
258,도립대점,강원도,강릉시
259,도마점,대전광역시,서구
260,도봉점,서울특별시,도봉구
